内部商品名称,内部规格,内部条码,内部销售价,总销量,进货价,外部商品名称,外部规格,外部活动价,外部原价,匹配结果,商品分类,线上原价,线上活动价,定价类型,线下价格
日系女士内裤无痕简约少女日韩风可爱学生中腰透气女士三角裤内裤女颜色随机/条,黑色L【100-125斤】,3009757749214,4.1,0,1.6,一次性内裤棉质内档女士中腰三角裤旅行出差免洗日抛内裤颜色包装随机/条,,4.75,5.0,模糊匹配,C,5.2,4.9,普通商品(中毛利),3.2
【经典马丁靴】男鞋秋冬新款高帮工装靴子马丁鞋 黄色1双 英伦风短靴百搭潮鞋,F1黄色43,3009751975336,29.9,0,24.6,,,,,无匹配,C,86.2,61.5,普通商品(中毛利),51.9
新款拼色长款瑜伽裤子香鲸蓝瑜伽服速干无痕裸感健身服无缝显瘦透气运动裤／条,灰色S,3009745726272,19.2,0,10.78,新款拼色长款瑜伽裤子香鲸蓝瑜伽服速干无痕裸感健身服无缝显瘦透气运动裤／条,S码裤子*1条,21.14,32.0,模糊匹配,C,32.2,21.2,普通商品(中毛利),19.5
【羽克男女通用游泳镜】泳镜成人男女通用护目镜学游泳泳镜电镀防雾游泳眼镜带耳塞平光泳镜／个,无度数电镀黑一个,3009739168392,22.8,0,14.2,,,,,无匹配,C,49.9,35.5,普通商品(中毛利),29.9
【仰卧起坐辅助器】吸盘式固定脚器练腹肌锻炼健身器材家用卷腹器瘦肚子神器／件,1台,3009738898696,31.2,0,17.59,,,,,无匹配,C,61.5,43.9,普通商品(中毛利),36.9
无肩带抹胸 夏季无肩带内衣女小胸防滑聚拢文胸罩背心收副乳裹胸/件（颜色可选）,肤色M【95-115斤】,3009733816251,18.0,0,7.8,无肩带抹胸夏季无肩带内衣女小胸防滑聚拢文胸罩背心收副乳裹胸／件（颜色可选）,白色S码【70-95斤70ABC】,19.9,30.0,模糊匹配,C,30.2,19.9,普通商品(中毛利),18.2
可爱奶牛大容量搬家打包袋／个 高颜值行李袋收纳袋子手提行李袋防尘编制袋【多规格可选】,奶牛标准中号【68*17*41】-48L,3009729485027,10.2,0,4.6,【规格可选】搬家打包袋收纳袋子手提蛇皮口袋结实行李袋大容量麻袋编织袋/个（样式随机）,中号60*40*20cm/个,11.5,11.5,模糊匹配,C,11.5,11.5,普通商品(中毛利),6.9
新款jk南瓜打底裤安全裤女夏季冰丝薄款防走光jk洛丽塔白色/条,白色L适合100-120斤,3009725954282,9.2,0,3.2,新款jk南瓜打底裤安全裤女夏季冰丝薄款防走光jk洛丽塔白色／条,白色M,9.5,16.0,模糊匹配,C,16.2,9.5,普通商品(高毛利),9.2
俏美人四季男女大码收腹带束腰封透气塑身美体瘦肚子产后产妇衣服黑色 1件,黑色XXL,3009706948415,11.4,0,6.6,俏美人四季男女大码收腹带束腰封透气塑身美体燃脂减肚子产后产妇衣服黑色1件,S码,15.36,18.9,模糊匹配,C,18.9,15.5,普通商品(中毛利),11.5
【颜色可选】学院风纯色jk百褶裙 百褶裙学院风高腰a字群显瘦百搭短裙半身裙 1条,白色-常规M,3009701419019,17.4,0,9.1,,,,,无匹配,C,31.9,22.9,普通商品(中毛利),19.2
【柔韧抗拉】洗衣机网袋 多规格可选细网衣物拉链洗衣机洗护袋洗衣袋网眼衣物细网袋网兜/个,30*40cm*1个(衬衫、T恤等),3009698582666,2.9,0,1.0,【柔韧抗拉】洗衣机网袋多规格可选细网衣物拉链洗衣机洗护袋洗衣袋网眼衣物细网袋网兜／个,30*40cm*1个(衬衫、T恤等),3.5,4.9,模糊匹配,C,4.9,3.5,普通商品(高毛利),2.9
【马蹄扣皮带】细皮带女简约复古裤金扣腰带女时尚网红通勤风针扣皮带百搭女牛仔西装裙裤带/条,黑色【110cm】*1,3009675079950,7.8,0,3.4,【马蹄扣皮带】细皮带女简约复古裤金扣腰带女时尚网红通勤风针扣皮带百搭女牛仔西装裙裤带／条,棕色【110cm】*1,11.8,13.0,模糊匹配,C,13.2,11.9,普通商品(中毛利),7.9
【规格可选】塑料手提袋hello兔服装店包装袋礼品袋购物袋子 1个,hello小兔;宽 30*20,3009673387699,0.4,0,0.3,【规格可选】塑料手提袋hello兔服装店包装袋礼品袋购物袋子1个,小号30*20hello兔印花（1个）,0.39,0.5,模糊匹配,C,0.5,0.5,普通商品(低毛利),0.5
踩屎感boost内增高鞋垫男女不累脚防臭透气爆米花全垫增高鞋垫/双,2.5cm 39-40,3009655920210,5.4,0,3.7,,,,,无匹配,C,12.9,9.2,普通商品(中毛利),7.9
悬挂式除湿袋100g/袋 学生宿舍吸湿集水衣柜防潮剂房间除湿剂衣柜衣橱防霉防潮挂式吸湿包,除湿袋80g,3009647151172,0.9,0,0.6,,,,,无匹配,C,2.2,1.5,普通商品(中毛利),1.5
【浩源三星级训练用乒乓球】高弹力耐打好用新材料ABS黄色白色户外兵乓球／个,白色一个,3009638875414,0.4,0,0.3,【浩源三星级训练用乒乓球】高弹力耐打好用新材料ABS黄色白色户外兵乓球／个,白色*1个(,0.45,0.5,模糊匹配,C,0.5,0.5,普通商品(低毛利),0.5
品牌随机 莫代尔三分裤打底裤 冰丝无痕防走光安全裤女夏／条（冰丝平口）,肤色【莫代尔】L码 85-115斤,3009634403833,7.7,0,3.6,,,,,无匹配,C,12.5,9.2,普通商品(中毛利),7.5
【简约拖鞋】拖鞋女夏季室外拖鞋软底舒适凉拖鞋居家室内拖鞋浴室洗澡情侣拖鞋男/双,粉色36-37码*1双【建议35-36】,3009585777052,7.2,0,3.2,【简约拖鞋】拖鞋女夏季室外拖鞋软底舒适凉拖鞋居家室内拖鞋浴室洗澡情侣拖鞋男／双,粉色40-41码*1双【建议39-40】,10.8,12.0,模糊匹配,C,12.2,10.9,普通商品(中毛利),7.5
卡通毛绒地垫 加厚速干吸水垫子浴室家用脚垫入户门垫地毯可水洗派对猫猫/张,四猫50*80cm*1个,3009574703154,9.7,0,7.4,卡通毛绒地垫加厚速干吸水垫子浴室家用脚垫入户门垫地毯可水洗派对猫猫／张,【毛绒款40*60cm】,10.8,15.8,模糊匹配,C,15.9,10.9,普通商品(中毛利),9.5
女生大码内裤女士莫代尔中腰无痕不夹臀桑蚕丝抑菌裆透气女式三角短裤/条,浅肤XL,3009537850215,9.0,0,4.5,日系薄款少女内裤女士中腰蕾丝边无痕简约甜美透气冰丝内裤三角裤／1条,黑色M,5.6,9.8,模糊匹配,C,9.9,5.5,普通商品(中毛利),5.9
【便携户外麻将】24mm便携迷你小麻将户外宿舍旅行手搓麻将144张／套（不包含牌尺桌子）,一套,3009536051415,34.8,0,22.5,,,,,无匹配,C,78.9,56.2,普通商品(中毛利),47.5
赵露思同款韩国女高老爹鞋新款百搭网面透气ins潮超火厚底休闲运动鞋 银色 /1双,液态银38码,3009535442016,64.8,0,30.7,赵露思同款韩国女高老爹鞋新款百搭网面透气ins潮超火厚底休闲运动鞋银色／双,36码,49.6,108.0,模糊匹配,C,108.2,49.9,普通商品(中毛利),64.9
大号鞋子收纳袋 44x32cm／个 小白鞋防黄新款加厚透气防尘鞋套罩带抽绳鞋袋,宽32*高44cm*1个,3009534976314,1.4,0,0.6,【尺寸可选】收纳鞋袋32×44cm大号束口收纳袋深灰色防尘鞋袋鞋袋子鞋罩鞋子收纳袋／个,宽32×高44cm大号灰色*1个,1.25,1.5,模糊匹配,C,1.5,1.2,普通商品(中毛利),0.9
得力 彩色长尾票夹 60个/盒,60只/筒,6921734944658,10.2,0,6.9,得力彩色长尾票夹40只/罐,,12.8,12.8,模糊匹配,C,12.9,12.9,普通商品(中毛利),7.9
得力8553ES彩色长尾票夹筒装(混)(24只/筒),24只/筒,6921734944733,12.3,0,7.1,得力8555-5#彩色长尾票夹19mm(筒装)(混)(40只/筒),,13.0,13.0,模糊匹配,C,13.2,13.2,普通商品(中毛利),7.9
微纳米万根软毛牙刷 绒感男女家庭装情侣用洁齿护龈万丝柔毛牙刷/支(款式随机),波浪头  opp袋装白色,3009515414033,1.8,0,0.6,微纳米万根软毛牙刷绒感男女家庭装情侣用洁齿护龈万丝柔毛牙刷／支(款式随机),白色*1支,0.01,5.5,模糊匹配,C,5.5,0.2,普通商品(高毛利),1.9
【夜光羽毛球】防抗风夜光发亮羽毛球炫酷多色彩发光球耐打尼龙塑料带LED灯夜光羽毛球／个,一个,3009502206719,2.9,0,1.0,【夜光羽毛球】防抗风夜光发亮羽毛球炫酷多色彩发光球耐打尼龙塑料带LED灯夜光羽毛球／个,夜光羽毛球*1个,3.5,5.8,模糊匹配,C,5.9,3.5,普通商品(高毛利),2.9
绿阶小包硅胶干燥剂5克g防潮珠服装非鞋帽除湿工业用电子产品防潮干燥剂,一包,3009499500142,0.1,0,0.1,,,,,无匹配,C,0.5,0.2,普通商品(高毛利),0.2
俏美人四季男女大码收腹带束腰封透气塑身美体瘦肚子产后产妇衣服黑色 1件,黑色M,3009494287413,11.4,0,6.6,俏美人四季男女大码收腹带束腰封透气塑身美体燃脂减肚子产后产妇衣服黑色1件,S码,15.36,18.9,模糊匹配,C,18.9,15.5,普通商品(中毛利),11.5
怡雅韵 加厚特大收纳箱／个 大容量整理箱特大号搬家箱子衣物储物整理箱【规格可选】,长78*宽57*高46,3009476376418,83.4,0,47.31,,,,,无匹配,C,165.5,118.2,普通商品(中毛利),99.2
【速干冰丝】女士内裤速干冰丝蕾丝内裤女性感新款纯棉裆女士透气少女纯欲薄款短裤/条,浅蓝M,3009465155512,6.3,0,2.2,【速干冰丝】女士内裤速干冰丝蕾丝内裤女性感新款纯棉裆女士透气少女纯欲薄款短裤／条,黑色M*1条【适合80-100斤】,9.8,12.0,模糊匹配,C,12.2,9.9,普通商品(高毛利),6.2
【密封防潮】开窗牛皮纸袋 防油纸袋自封袋坚果透明食品包装茶叶密封袋牛皮纸袋／个,10*15cm+3.5*开窗1个,3009459496317,0.3,0,0.1,【规格可选】开窗牛皮纸袋防油纸袋自封袋坚果透明食品包装茶叶密封袋牛皮纸袋／个,10*15+3*开窗,0.38,0.4,模糊匹配,C,0.5,0.5,普通商品(高毛利),0.2
精选 男士内裤 男平角裤运动透气纯棉裆大码底裤衩四角裤/条（规格可选）,4XL【170-200斤】1条,3009435787637,4.4,0,2.8,,,,,无匹配,C,9.9,7.2,普通商品(中毛利),5.9
瑜伽深蹲弹力带阻力带健身女翘臀环形弹力圈腿部手臂练肩膀开背深蹲／1条,紫色（50lb）,3009411984418,9.5,0,4.4,,,,,无匹配,C,15.5,11.2,普通商品(中毛利),9.2
【大号毛毡包】礼品毛毡包通勤三只云朵企业礼品手提包大容量托特包便携/个,卡其云朵包40*12*30cm,3009402104641,6.9,0,3.2,【大号毛毡包】40x30cm礼品毛毡包通勤三只云朵企业礼品手提包大容量托特包简约便携／个,三只云朵*1个【40*30cm】,7.8,9.5,模糊匹配,C,9.5,7.9,普通商品(中毛利),5.9
【丰胯假屁股】打底裤丰胯塑形安全裤短裤平角裤女中腰增胯垫凹陷加垫收腹塑身假胯内裤/条,黑色.M((【75-105斤】)),3009385963310,22.8,0,10.3,【丰胯假屁股】打底裤丰胯塑形安全裤短裤平角裤女中腰增胯垫凹陷加垫收腹塑身假胯内裤／条,黑色M码*1条【80-115斤】,18.5,38.0,模糊匹配,C,38.2,18.5,普通商品(中毛利),22.9
日系薄款少女内裤女士中腰蕾丝边无痕简约甜美透气冰丝内裤三角裤 /1条,白色M,3009378820514,5.9,0,2.2,日系薄款少女内裤女士中腰蕾丝边无痕简约甜美透气冰丝内裤三角裤／1条,黑色M,5.6,9.8,模糊匹配,C,9.9,5.5,普通商品(中毛利),5.9
【 中国国旗脸贴】防水安全环保无异味 运动会班会团建装饰五星红旗脸贴/张（多规格可选）,方形国旗一张18贴,3009365975210,0.6,0,0.2,,,,,无匹配,C,0.9,0.5,普通商品(中毛利),0.5
【星空亮片泳圈】加厚成人泳圈儿童泳圈充气游泳圈救生圈游泳馆户外玩水游泳装备／个(未充气),80一个,3009359852121,8.2,0,6.5,【星空亮片泳圈】加厚成人泳圈儿童泳圈充气游泳圈救生圈游泳馆户外玩水游泳装备／个(未充气),60#【适合2-4岁】*1个,8.5,12.0,模糊匹配,C,12.2,8.5,普通商品(中毛利),7.5
【boost 踩屎感鞋垫】软底PU运动鞋垫跑步鞋垫男减震鞋垫女篮球军训鞋垫/双,39-40,3009356900023,4.0,0,1.4,【boost踩屎感鞋垫】软底PU运动鞋垫跑步鞋垫男减震鞋垫女篮球军训鞋垫／双,35-36码,7.5,7.8,模糊匹配,C,7.9,7.5,普通商品(高毛利),4.2
【星空亮片泳圈】加厚成人泳圈儿童泳圈充气游泳圈救生圈游泳馆户外玩水游泳装备／个(未充气),60一个,3009353796018,7.2,0,4.0,【星空亮片泳圈】加厚成人泳圈儿童泳圈充气游泳圈救生圈游泳馆户外玩水游泳装备／个(未充气),60#【适合2-4岁】*1个,8.5,12.0,模糊匹配,C,12.2,8.5,普通商品(中毛利),7.5
吉他专用拨弦片 电吉他拨片尤克里里赛璐璐Pick拨片弹片民谣木吉他自选厚度速弹扫弦／个,磨砂面1.5mm,3009301477754,0.7,0,0.22,,,,,无匹配,C,0.9,0.5,普通商品(中毛利),0.5
【四合一套装】一次性筷子四件套 一次性餐具包餐具套装外卖筷子纸巾牙签勺子筷子套装／套,款式随机*1套,3009299210883,0.3,0,0.2,一次性筷子,,,8.55,模糊匹配,C,8.5,8.5,普通商品(高毛利),0.5
得力 牛皮信封3423简约增值税发票专用信封 米黄色(20个/包),1个*1份,6921734934239,7.2,0,3.7,得力5号牛皮纸信封加厚工资袋票据增值税发票信封文件袋邮局标准信封袋／个,5#220mmx110mm(10个起购),6.0,0.6,条码匹配,C,0.9,,普通商品(低毛利),4.9
得力 订书机订书器0426 适配24/6或24/6书钉 颜色随机,300g*1个,6935205367112,9.0,0,7.1,,,,,无匹配,C,24.9,17.9,普通商品(中毛利),14.9
【21cm彩色鸡毛毽子】户外运动成人儿童健身彩色鹅毛毽学生色彩鲜艳大花毽／个（款式随机）,1个,3009251664419,2.7,0,1.5,,,,,无匹配,C,5.2,3.9,普通商品(中毛利),3.2
男士内裤裸感舒适简约透气亲肤活力纯色中腰平角裤1条,浅灰（有印码）L 【建议80-100斤】,3009249795415,3.6,0,2.4,男士内裤裸感舒适简约透气亲肤活力纯色中腰平角裤1条,黑色3XL,2.9,9.9,模糊匹配,C,9.9,2.9,普通商品(中毛利),5.9
镀锌六角螺母 4.8级螺丝螺母螺帽M4-M8螺栓六角螺母/颗,M6一个,3009247580112,0.1,0,0.1,,,,,无匹配,C,0.5,0.2,普通商品(高毛利),0.2
【运动肌肉贴】篮球骑行护具羽毛球篮球登山足球网球运动提拉绷带健身弹力贴合透气舒适／卷,浅肤超细布2.5CM*5M,3009241243877,4.3,0,1.5,【运动肌肉贴】篮球骑行护具羽毛球篮球登山足球网球运动提拉绷带健身弹力贴合透气舒适／卷,2.5cmx5m(肤色)*1卷,6.8,8.8,模糊匹配,C,8.9,6.9,普通商品(高毛利),4.2
茅台白酒杯 10ml一口杯烈酒小酒盅家用透明玻璃杯青莲杯高脚白酒杯/个,1个,3009230075472,1.2,0,0.6,茅台白酒杯10ml一口杯烈酒小酒盅家用透明玻璃杯青莲杯高脚白酒杯／个,10ml*1个,1.35,2.0,模糊匹配,C,2.2,1.5,普通商品(中毛利),1.5
怡雅韵 加厚特大收纳箱／个 大容量整理箱特大号搬家箱子衣物储物整理箱【规格可选】,长60*宽45*高34,3009223629651,74.3,0,25.98,,,,,无匹配,C,90.9,64.9,普通商品(中毛利),54.5
【颜色可选】学院风纯色jk百褶裙 百褶裙学院风高腰a字群显瘦百搭短裙半身裙 1条,白色-常规L,3009222862417,17.4,0,9.1,,,,,无匹配,C,31.9,22.9,普通商品(中毛利),19.2
【大号浴巾】菠萝格浴巾 70×140cm可穿可裹柔软吸水加厚舒适吸水成人家用洗澡浴巾／条,蓝色70*140cm【浴巾】,3009218436615,11.3,0,6.08,【大号浴巾】菠萝格浴巾70×140cm可穿可裹柔软吸水加厚舒适吸水成人家用洗澡浴巾／条,浅蓝70×140cm*1条,11.5,18.8,模糊匹配,C,18.9,11.5,普通商品(中毛利),11.5
【运动肌肉贴】篮球骑行护具羽毛球篮球登山足球网球运动提拉绷带健身弹力贴合透气舒适／卷,浅肤超细布5CM*5M,3009208130790,5.3,0,2.8,【运动肌肉贴】篮球骑行护具羽毛球篮球登山足球网球运动提拉绷带健身弹力贴合透气舒适／卷,2.5cmx5m(肤色)*1卷,6.8,8.8,模糊匹配,C,8.9,6.9,普通商品(中毛利),5.5
圆头一字扣蝴蝶结浅口女士单鞋 粗低跟法式复古玛丽珍软底中跟百搭奶奶鞋百搭休闲鞋平底鞋/双,米白色升级版35,3009205214219,40.8,0,23.0,圆头一字扣蝴蝶结浅口女士单鞋粗低跟法式复古玛丽珍软底中跟百搭奶奶鞋百搭休闲鞋平底鞋／双,米色36,49.8,68.0,模糊匹配,C,68.2,49.9,普通商品(中毛利),40.9
AFISH一只鱼 10A抗菌防臭吸汗纯棉男士袜子7双／盒 短袜中长筒袜黑袜子男士,长袜-7双混色盒装,3009191742321,42.0,0,16.4,袜子,,,17.86,模糊匹配,C,17.9,17.9,普通商品(低毛利),20.5
银针小巧水钻耳钉简约气质养耳洞免摘耳骨钉时尚百搭学生耳钉 1对,钻3mm一对,3009173223473,4.6,0,1.6,银针小巧水钻耳钉简约气质养耳洞免摘耳骨钉时尚百搭学生耳钉1对,3mm,7.8,7.8,模糊匹配,C,7.9,7.9,普通商品(高毛利),4.5
钛钢方蛇骨链项链男潮轻奢小众高级感链子男士配饰女锁骨链1/条,,3007664342115,5.8,0,2.0,,,,,无匹配,C,7.2,5.2,普通商品(中毛利),4.5
玻璃胶枪 门窗压胶水枪省力家用通用型打胶工具结构胶打胶枪轻便省力推胶压胶填缝枪／个,一个,3009153083134,7.1,0,3.0,玻璃胶枪门窗压胶水枪省力家用通用型打胶工具结构胶打胶枪轻便省力推胶压胶填缝枪／个,玻璃胶枪*1个,10.5,11.8,模糊匹配,C,11.9,10.5,普通商品(中毛利),7.2
奶油波点内裤 法式复古冰丝少女内裤性感蕾丝抗菌裆无痕甜美学生女士三角裤/条,粉色XL码【推荐120—140斤】,3009146435421,5.9,0,2.6,奶油波点内裤法式复古冰丝少女内裤性感蕾丝抗菌裆无痕甜美学生女士三角裤／条,白色M*1条【建议80—100斤】,6.5,9.8,模糊匹配,C,9.9,6.5,普通商品(中毛利),5.9
单层时尚爱心项链XL1103-1,,3002511199584,4.8,0,2.9,,,,,无匹配,C,10.2,7.2,普通商品(中毛利),6.2
踩屎感boost内增高鞋垫男女不累脚防臭透气爆米花全垫增高鞋垫/双,2.5cm 43-44,3009106067457,5.4,0,3.7,,,,,无匹配,C,12.9,9.2,普通商品(中毛利),7.9
【独立包装】一次性勺子 甜品勺透明塑料勺加厚沙拉勺冰粉勺一次性汤勺饭勺餐具水晶勺/个,1支,3009103244462,0.1,0,0.1,【独立包装】一次性勺子甜品勺透明塑料勺加厚沙拉勺冰粉勺一次性汤勺饭勺餐具水晶勺／个,勺子*1个,0.1,0.2,模糊匹配,C,0.2,0.2,普通商品(中毛利),0.2
MUJI 无印良品平替水杯 冷水杯便携简约水杯茶杯ins风简洁杯子带提绳学生杯子/个,白色550ML*1个,3009072271315,10.7,0,4.4,,,,,无匹配,C,15.5,11.2,普通商品(中毛利),9.2
【儿童泳衣泳裤泳帽三合一】儿童泳衣套装温泉馆游泳健身馆男童卡通分体泳衣泳裤泳帽三件套装／套,蓝帆船分体2XL(建议45-60斤）,3009063102222,22.8,0,10.9,【儿童泳衣泳裤泳帽三合一】儿童泳衣套装温泉馆游泳健身馆男童卡通分体泳衣泳裤泳帽三件套装／套,3XL码【身高120-130cm】*1套,22.8,38.0,模糊匹配,C,38.2,22.9,普通商品(中毛利),22.9
Hape木制积木1-6岁,61粒马卡龙积木纸盒装,3008447175081,52.1,0,31.0,,,,,无匹配,C,108.5,77.5,普通商品(中毛利),65.2
【颜色可选】LED电子蜡烛 圆形露营灯浪漫情调求婚引路灯生日场景氛围装饰蜡烛灯无烟/个,白外壳暖白光不闪一个,3009031048316,0.6,0,0.4,【颜色可选】LED电子蜡烛圆形露营灯浪漫情调求婚引路灯生日场景氛围装饰蜡烛灯无烟／个,圆形白壳暖光*1个,0.78,0.99,模糊匹配,C,0.9,0.9,普通商品(中毛利),0.5
【多色可选】手缝线 家用302缝纫线手工diy小卷线牛仔裤涤纶线宝塔线缝衣服针线手提线／卷,宝蓝色,3009020514693,0.6,0,0.4,【多色可选】手缝线家用302缝纫线手工diy小卷线牛仔裤涤纶线宝塔线缝衣服针线手提线／卷,白色*1个,0.88,1.0,模糊匹配,C,1.2,0.9,普通商品(中毛利),0.9
丹碧丝 大流量型易推导管棉条 导管式卫生巾隐形无感游泳内置式防漏卫生棉条7支/盒,7支*1盒,6903148323939,19.2,0,14.9,丹碧丝大流量型易推导管棉条导管式卫生巾隐形无感游泳内置式防漏卫生棉条7支／盒,7支*1盒,19.9,32.0,条码匹配,C,32.2,19.9,普通商品(中毛利),19.5
【经典马丁靴】男鞋秋冬新款高帮工装靴子马丁鞋 黄色1双 英伦风短靴百搭潮鞋,F1黄色41,3008999405018,29.9,0,24.6,,,,,无匹配,C,86.2,61.5,普通商品(中毛利),51.9
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋66018,玫红40-41码,3009591949115,21.6,0,12.5,凉拖鞋,,,22.5,模糊匹配,C,22.5,22.5,普通商品(低毛利),15.9
【颜色可选】辣妹纯欲风包臀裙高腰显气质弹力一步裙短裙女士装职业半身裙均码/1条,均码黑色,3008979399511,18.0,0,7.8,【颜色可选】辣妹纯欲风包臀裙高腰显气质弹力一步裙短裙女士装职业半身裙均码／1条,灰色S码,23.9,28.0,模糊匹配,C,28.2,23.9,普通商品(中毛利),16.9
圆头一字扣蝴蝶结浅口女士单鞋 粗低跟法式复古玛丽珍软底中跟百搭奶奶鞋百搭休闲鞋平底鞋/双,米白色升级版37,3008978357840,40.8,0,23.0,圆头一字扣蝴蝶结浅口女士单鞋粗低跟法式复古玛丽珍软底中跟百搭奶奶鞋百搭休闲鞋平底鞋／双,米色36,49.8,68.0,模糊匹配,C,68.2,49.9,普通商品(中毛利),40.9
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋66018,玫红38-39码,3006339548937,21.6,0,12.5,凉拖鞋,,,22.5,模糊匹配,C,22.5,22.5,普通商品(低毛利),15.9
方底牛皮纸袋 汉堡包装袋烘焙面包袋收纳早餐肉夹馍防油外卖打包袋/个,大号【18*11*32cm】,3008964118318,0.5,0,0.2,,,,,无匹配,C,0.9,0.5,普通商品(中毛利),0.5
【儿童泳衣泳裤泳帽三合一】儿童泳衣套装温泉馆游泳健身馆男童卡通分体泳衣泳裤泳帽三件套装／套,蓝帆船分体3XL(建议60-75斤）,3008963625763,22.8,0,10.9,【儿童泳衣泳裤泳帽三合一】儿童泳衣套装温泉馆游泳健身馆男童卡通分体泳衣泳裤泳帽三件套装／套,3XL码【身高120-130cm】*1套,22.8,38.0,模糊匹配,C,38.2,22.9,普通商品(中毛利),22.9
【速干冰丝】女士内裤速干冰丝蕾丝内裤女性感新款纯棉裆女士透气少女纯欲薄款短裤/条,浅蓝XL,3008961105953,6.3,0,2.2,【速干冰丝】女士内裤速干冰丝蕾丝内裤女性感新款纯棉裆女士透气少女纯欲薄款短裤／条,黑色M*1条【适合80-100斤】,9.8,12.0,模糊匹配,C,12.2,9.9,普通商品(高毛利),6.2
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋66018,玫红36-37码,6976755381388,21.6,0,12.5,凉拖鞋,,,22.5,模糊匹配,C,22.5,22.5,普通商品(低毛利),15.9
【轻软底拖鞋】踩屎感eva夏季拖鞋女居家酒店学校宿舍浴室男女士凉拖鞋/双,鞋码40-41建议39-40脚白色∵,3008945139813,8.4,0,3.8,【轻软底拖鞋】踩屎感eva夏季拖鞋女居家酒店学校宿舍浴室男女士凉拖鞋／双,白色36-37码*1双【适合33-34】,1.88,9.9,模糊匹配,C,9.9,1.9,普通商品(中毛利),5.9
新款运动内衣适合跑步运动背心文胸聚拢定型美背健身瑜伽服装夏／1件（黑色）,黑色M建议80-135斤,3008934251519,16.8,0,10.4,【运动内衣】女跑步运动背心文胸聚拢定型美背健身瑜伽服装夏／1件,X蓝色XXL码,19.0,25.0,模糊匹配,C,25.2,19.2,普通商品(中毛利),15.2
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋66018,黑色40-41码,3002403568610,21.6,0,12.5,凉拖鞋,,,22.5,模糊匹配,C,22.5,22.5,普通商品(低毛利),15.9
伊佳亲 儿童一次性内裤男童无菌短裤 柔软免洗户外旅行便捷三角内裤/条,男童三角白色【1条装】XS【40斤-60斤】,3008927404618,2.1,0,1.3,,,,,无匹配,C,4.5,3.2,普通商品(中毛利),2.9
赵露思同款韩国女高老爹鞋新款百搭网面透气ins潮超火厚底休闲运动鞋 银色 /1双,液态银35码,3008926455376,64.8,0,30.7,赵露思同款韩国女高老爹鞋新款百搭网面透气ins潮超火厚底休闲运动鞋银色／双,36码,49.6,108.0,模糊匹配,C,108.2,49.9,普通商品(中毛利),64.9
泡茶袋 中药一次性煎药过滤袋 煲烫袋 卤料袋调料包袋／个,1个*20×30,3008926348340,0.3,0,0.1,一次性过滤袋无纺布袋茶包袋卤料包分装袋泡茶袋中药袋纱布袋煎药袋过滤包装袋抽绳款／个,10cm*12cm*1个,0.15,0.25,模糊匹配,C,0.2,0.2,普通商品(中毛利),0.2
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋66018,黑色38-39码,3009633055781,,0,12.5,,,,,无匹配,C,43.9,31.2,普通商品(中毛利),26.5
【多规格可选】飞机盒 打包快递纸盒三层加硬飞机纸盒正方形纸盒纸箱包装盒/个,28*17*4cm*1个,3008918141294,0.9,0,0.5,【多规格可选】飞机盒打包快递纸盒三层加硬飞机纸盒正方形纸盒纸箱包装盒／个,长20×宽14×高4cm*1个,0.6,0.8,模糊匹配,C,0.9,0.9,普通商品(低毛利),0.9
大嘴猴夏季软底踩屎感户外外穿凉拖居家室内家用厚底女士凉鞋女凉拖鞋65305黑色,40-41码,3004816735559,21.6,0,12.5,凉拖鞋,,,22.5,模糊匹配,C,22.5,22.5,普通商品(低毛利),15.9
【超火奶油风】32寸生日气球网红ins奶油色大数字铝膜生日派对装饰布置/个（数字可选）,32寸数字奶油色 6,3008916280018,2.9,0,1.1,奶油色32寸生日数字气球0-9可选铝膜儿童生日周岁派对装饰布置拍照道具/个,数字0,3.5,3.5,模糊匹配,C,3.5,3.5,普通商品(中毛利),2.2
【颜色规格可选】百搭白色蕾丝吊带背心女内装小众外穿纯欲甜辣修身打底上衣/1件,白色均码【75-130斤】,3008904834117,14.1,0,9.4,,,,,无匹配,C,32.9,23.5,普通商品(中毛利),19.9
南极人 男士冰丝内裤石墨烯抗菌平角裤男士内裤成人夏季薄款四角裤衩短裤/条(颜色随机),9903 3XL,3008897888111,7.1,0,4.9,南极人男士冰丝内裤石墨烯抗菌平角裤男士内裤成人夏季薄款四角裤衩短裤／条(颜色随机),XL码*1条【建议60-70公斤】,9.8,11.8,模糊匹配,C,11.9,9.9,普通商品(中毛利),7.2
毛毛抹胸连衣裙修身收腰显瘦性感辣妹纯欲气质高级感女士裙装内搭背心短裙子 黑色/1件,黑色M,3008897328075,27.0,0,12.6,毛毛抹胸连衣裙修身收腰显瘦性感辣妹纯欲气质高级感女士裙装内搭背心短裙子黑色／1件,黑色S码（80-90斤）,32.5,45.0,模糊匹配,C,45.2,32.5,普通商品(中毛利),27.2
